Winner,First_pokemon,Second_pokemon
650,650,579
151,151,558
340,340,631
139,688,139
132,365,132
440,200,440
336,108,336
797,797,202
423,719,423
800,800,227
702,702,558
477,477,195
715,715,176
660,572,660
20,20,94
482,482,324
89,50,89
398,623,398
372,372,619
710,710,506
527,527,330
306,252,306
685,312,685
692,431,692
709,482,709
291,294,291
418,576,418
637,637,636
441,211,441
93,734,93
799,799,119
249,249,161
505,638,505
701,702,701
175,175,235
629,17,629
125,119,125
600,530,600
765,291,765
245,245,372
452,452,382
258,258,741
234,150,234
548,160,548
594,181,594
747,747,389
359,81,359
422,374,422
677,677,310
521,521,67
495,215,495
588,40,588
271,751,271
600,347,600
732,544,732
40,40,492
792,18,792
712,712,468
766,639,766
727,727,754
152,152,354
70,70,196
180,282,180
750,634,750
271,271,100
345,98,345
737,48,737
641,641,126
764,83,764
249,249,311
175,180,175
692,692,492
65,358,65
692,692,126
561,599,561
677,716,677
380,380,188
350,350,4
446,446,179
348,189,348
247,407,247
72,231,72
206,347,206
513,513,634
465,29,465
630,217,630
123,119,123
102,102,638
727,727,44
156,328,156
282,282,411
109,295,109
213,686,213
203,493,203
71,71,605
657,657,405
511,297,511
367,126,367
272,272,488
196,196,774
137,329,137
683,726,683
481,481,469
270,270,29
163,163,260
169,170,169
502,559,502
266,18,266
26,674,26
697,686,697
64,351,64
429,762,429
154,426,154
403,512,403
328,100,328
778,778,269
507,507,491
93,457,93
463,463,354
579,579,267
623,623,186
230,754,230
624,609,624
259,734,259
615,615,331
490,490,356
232,232,591
508,508,669
85,85,466
393,393,53
352,73,352
109,129,109
223,223,578
63,219,63
478,307,478
394,125,394
168,168,510
542,542,160
591,591,512
687,200,687
97,302,97
690,170,690
260,260,255
429,429,502
119,119,468
590,615,590
91,668,91
146,454,146
510,45,510
255,255,742
424,424,5
348,168,348
466,466,530
750,750,452
528,528,86
409,409,194
502,560,502
483,268,483
6,6,220
65,348,65
397,798,397
427,427,415
55,55,720
331,331,443
520,520,328
555,555,38
520,520,111
259,381,259
304,668,304
246,329,246
764,764,217
729,514,729
137,137,315
205,278,205
373,464,373
319,319,82
230,230,326
735,245,735
239,239,680
710,229,710
24,24,607
776,776,680
778,224,778
394,480,394
271,141,271
701,701,542
549,337,549
428,568,428
732,699,732
791,433,791
791,791,385
230,647,230
380,380,308
760,242,760
366,366,668
424,38,424
635,635,361
233,86,233
424,424,191
793,793,91
37,37,604
16,16,324
320,320,82
373,373,160
401,401,262
752,164,752
264,567,264
421,43,421
185,185,666
141,213,141
315,315,201
162,162,497
111,53,111
124,124,512
361,361,325
480,319,480
775,775,241
82,736,82
163,89,163
8,8,27
517,517,50
557,357,557
229,310,229
154,154,650
601,653,601
383,383,433
3,3,497
175,175,455
694,42,694
270,270,363
728,661,728
227,354,227
519,519,297
643,617,643
552,552,56
465,338,465
406,590,406
552,552,4
360,796,360
594,695,594
362,363,362
260,260,404
1,1,324
275,367,275
165,119,165
613,613,121
57,413,57
606,606,707
716,327,716
651,651,173
139,409,139
34,34,47
642,642,114
460,609,460
649,649,452
302,39,302
5,5,670
36,36,762
272,272,173
289,798,289
620,620,772
30,637,30
89,89,102
682,682,323
541,541,36
26,527,26
26,26,251
665,210,665
95,627,95
707,650,707
665,225,665
414,133,414
275,728,275
471,471,226
130,216,130
259,668,259
469,310,469
333,333,457
629,629,385
467,231,467
314,355,314
557,557,758
40,200,40
249,249,193
461,461,489
51,121,51
553,553,75
80,280,80
493,486,493
93,211,93
508,508,230
740,740,502
632,289,632
372,627,372
131,767,131
526,526,315
7,7,599
206,206,637
547,547,742
104,104,266
560,560,237
616,616,15
299,646,299
253,378,253
662,1,662
216,216,13
666,666,131
247,247,791
426,117,426
211,211,659
773,773,626
602,111,602
22,22,207
438,438,127
299,299,43
703,754,703
747,539,747
574,574,592
653,653,96
715,715,748
623,256,623
797,797,190
142,142,240
193,203,193
135,135,484
116,351,116
749,626,749
204,755,204
303,151,303
309,510,309
474,474,562
513,513,138
398,80,398
437,437,386
440,667,440
171,171,34
165,165,89
491,120,491
699,699,431
48,49,48
459,308,459
713,713,613
261,354,261
418,587,418
77,240,77
499,499,397
490,490,391
249,190,249
674,674,140
126,126,624
138,310,138
135,135,611
232,232,582
611,723,611
228,458,228
520,520,303
407,489,407
1,1,684
438,438,630
629,80,629
547,547,142
623,623,545
672,672,395
415,734,415
315,315,82
194,194,52
643,643,176
142,142,73
217,363,217
69,69,302
598,598,39
603,603,229
676,461,676
697,391,697
674,721,674
23,23,237
548,548,624
554,554,323
540,645,540
483,483,22
44,44,92
693,693,335
768,768,282
772,772,224
559,559,342
722,722,456
39,681,39
747,747,19
362,176,362
420,420,780
157,580,157
284,231,284
638,381,638
426,253,426
545,545,692
483,282,483
422,790,422
362,362,178
133,133,534
394,249,394
230,759,230
770,203,770
40,40,226
475,328,475
112,485,112
32,688,32
539,539,37
241,241,463
40,684,40
555,602,555
127,627,127
104,104,227
270,350,270
422,422,403
754,754,660
582,582,666
629,237,629
748,748,791
450,450,639
507,283,507
344,267,344
705,139,705
301,301,39
773,26,773
30,36,30
169,762,169
723,723,198
521,521,796
181,252,181
614,482,614
344,344,292
11,11,385
312,373,312
47,203,47
729,630,729
544,544,130
63,397,63
691,277,691
100,100,289
205,137,205
766,766,518
414,414,402
366,81,366
631,631,404
681,287,681
193,193,498
635,321,635
687,687,305
560,277,560
657,609,657
261,621,261
446,95,446
54,94,54
478,478,764
1,76,1
141,141,95
554,434,554
535,719,535
148,148,489
797,423,797
350,707,350
596,36,596
242,242,372
546,585,546
71,437,71
333,333,113
216,216,657
612,119,612
569,363,569
688,688,238
773,48,773
727,727,386
441,441,779
656,221,656
702,339,702
165,165,137
93,93,18
55,55,778
740,740,763
571,698,571
714,223,714
71,71,97
394,394,689
788,788,173
142,142,308
275,31,275
495,495,707
240,382,240
393,588,393
47,660,47
258,258,686
41,41,88
546,262,546
340,302,340
441,315,441
54,54,395
272,272,297
138,696,138
325,325,331
729,729,685
339,97,339
50,50,294
288,68,288
438,380,438
327,397,327
692,215,692
30,30,587
11,11,602
234,234,485
139,139,516
72,72,456
682,657,682
638,638,310
554,486,554
349,698,349
202,202,128
298,659,298
150,150,297
301,301,686
450,329,450
770,770,599
617,617,501
136,645,136
225,48,225
600,600,695
767,767,15
206,206,226
326,326,468
473,602,473
768,17,768
397,678,397
773,511,773
229,229,617
714,714,592
505,464,505
307,307,218
380,380,687
2,584,2
518,518,311
334,235,334
65,511,65
421,421,745
715,715,680
248,65,248
706,706,483
539,539,122
167,231,167
40,447,40
473,222,473
275,275,174
54,512,54
703,703,242
48,38,48
483,293,483
688,688,627
362,355,362
229,229,660
643,58,643
172,172,565
633,324,633
116,116,188
741,741,334
774,774,763
611,611,725
502,502,764
65,329,65
325,798,325
204,204,323
84,31,84
584,601,584
453,453,511
721,721,118
269,269,94
225,533,225
261,261,565
574,568,574
7,722,7
